Number,Execution_time,Frame_rate,Sched_Policy,Resolution,Transform
9,0.131655,7.59558,1,640x480,HoughCircle
1,0.104221,9.59496,0,640x480,HoughCircle
2,0.154993,6.45191,0,640x480,HoughCircle
3,0.113816,8.78613,0,640x480,HoughCircle
4,0.133587,7.48575,0,640x480,HoughCircle
5,0.139554,7.1657,0,640x480,HoughCircle
6,0.125071,7.99546,0,640x480,HoughCircle
7,0.148716,6.72423,0,640x480,HoughCircle
8,0.116831,8.5594,0,640x480,HoughCircle
9,0.131784,7.5882,0,640x480,HoughCircle
1,0.158894,6.2935,1,800x600,HoughCircle
2,0.123729,8.08221,1,800x600,HoughCircle
3,0.126173,7.92565,1,800x600,HoughCircle
4,0.151109,6.61775,1,800x600,HoughCircle
5,0.117581,8.50477,1,800x600,HoughCircle
6,0.136694,7.31558,1,800x600,HoughCircle
7,0.125248,7.98416,1,800x600,HoughCircle
8,0.13687,7.30623,1,800x600,HoughCircle
9,0.137412,7.27738,1,800x600,HoughCircle
1,0.130617,7.65595,0,800x600,HoughCircle
2,0.135217,7.39553,0,800x600,HoughCircle
3,0.160545,6.22879,0,800x600,HoughCircle
4,0.109327,9.14689,0,800x600,HoughCircle
5,0.14463,6.91418,0,800x600,HoughCircle
6,0.137837,7.25494,0,800x600,HoughCircle
7,0.118475,8.44059,0,800x600,HoughCircle
8,0.140844,7.10007,0,800x600,HoughCircle
9,0.134591,7.42993,0,800x600,HoughCircle
1,0.173169,5.7747,1,1600x1200,HoughCircle
2,0.105862,9.44628,1,1600x1200,HoughCircle
3,0.130361,7.67103,1,1600x1200,HoughCircle
4,0.145101,6.89176,1,1600x1200,HoughCircle
5,0.119014,8.40238,1,1600x1200,HoughCircle
6,0.136248,7.33958,1,1600x1200,HoughCircle
7,0.132466,7.54912,1,1600x1200,HoughCircle
8,0.136503,7.32583,1,1600x1200,HoughCircle
9,0.131167,7.62389,1,1600x1200,HoughCircle
1,0.109311,9.14821,0,1600x1200,HoughCircle
2,0.131951,7.57856,0,1600x1200,HoughCircle
3,0.134242,7.44924,0,1600x1200,HoughCircle
4,0.140215,7.1319,0,1600x1200,HoughCircle
5,0.124812,8.01204,0,1600x1200,HoughCircle
6,0.135405,7.38523,0,1600x1200,HoughCircle
7,0.129074,7.74747,0,1600x1200,HoughCircle
8,0.133949,7.46552,0,1600x1200,HoughCircle
9,0.151621,6.59537,0,1600x1200,HoughCircle
