Number,Execution_time,Frame_rate,Sched_Policy,Resolution,Transform
9,0.129072,7.7476,1,640x480,HoughCircle
1,0.132934,7.52251,0,640x480,HoughCircle
2,0.170465,5.8663,0,640x480,HoughCircle
3,0.111033,9.00634,0,640x480,HoughCircle
4,0.125651,7.95854,0,640x480,HoughCircle
5,0.128699,7.77004,0,640x480,HoughCircle
6,0.146357,6.83259,0,640x480,HoughCircle
7,0.121293,8.2445,0,640x480,HoughCircle
8,0.134534,7.43306,0,640x480,HoughCircle
9,0.131001,7.63352,0,640x480,HoughCircle
1,0.13191,7.58095,1,800x600,HoughCircle
2,0.146522,6.82494,1,800x600,HoughCircle
3,0.119524,8.36649,1,800x600,HoughCircle
4,0.141633,7.06049,1,800x600,HoughCircle
5,0.130865,7.64149,1,800x600,HoughCircle
6,0.13581,7.36324,1,800x600,HoughCircle
7,0.132001,7.57569,1,800x600,HoughCircle
8,0.135442,7.38322,1,800x600,HoughCircle
9,0.14237,7.02396,1,800x600,HoughCircle
1,0.132189,7.56494,0,800x600,HoughCircle
2,0.142121,7.03624,0,800x600,HoughCircle
3,0.140315,7.12683,0,800x600,HoughCircle
4,0.13427,7.44766,0,800x600,HoughCircle
5,0.133689,7.48003,0,800x600,HoughCircle
6,0.142072,7.03867,0,800x600,HoughCircle
7,0.127418,7.84819,0,800x600,HoughCircle
8,0.144082,6.9405,0,800x600,HoughCircle
9,0.118888,8.41126,0,800x600,HoughCircle
1,0.132387,7.55364,1,1600x1200,HoughCircle
2,0.153898,6.49783,1,1600x1200,HoughCircle
3,0.0923165,10.8323,1,1600x1200,HoughCircle
4,0.161251,6.20151,1,1600x1200,HoughCircle
5,0.115844,8.63231,1,1600x1200,HoughCircle
6,0.128611,7.77537,1,1600x1200,HoughCircle
7,0.135103,7.40176,1,1600x1200,HoughCircle
8,0.133069,7.51488,1,1600x1200,HoughCircle
9,0.13512,7.4008,1,1600x1200,HoughCircle
1,0.122672,8.15179,0,1600x1200,HoughCircle
2,0.137888,7.25225,0,1600x1200,HoughCircle
3,0.135212,7.39579,0,1600x1200,HoughCircle
4,0.145431,6.87611,0,1600x1200,HoughCircle
5,0.125653,7.95841,0,1600x1200,HoughCircle
6,0.133277,7.50315,0,1600x1200,HoughCircle
7,0.131859,7.58387,0,1600x1200,HoughCircle
8,0.131055,7.6304,0,1600x1200,HoughCircle
9,0.148787,6.72104,0,1600x1200,HoughCircle
