 Sequencer @ sec=0, msec=382
   Sequencer cycle 101 @ sec=3, msec=759
   Sequencer cycle 102 @ sec=3, msec=793
   Sequencer cycle 103 @ sec=3, msec=826
   Sequencer cycle 104 @ sec=3, msec=859
   Sequencer cycle 105 @ sec=3, msec=893
   Sequencer cycle 106 @ sec=3, msec=926
   Sequencer cycle 107 @ sec=3, msec=959
   Sequencer cycle 108 @ sec=3, msec=993
   Sequencer cycle 109 @ sec=4, msec=26
   Sequencer cycle 110 @ sec=4, msec=60
   Frame Sampler release 11 @ sec=4, msec=60
   Sequencer cycle 111 @ sec=4, msec=93
   Sequencer cycle 112 @ sec=4, msec=126
   Sequencer cycle 113 @ sec=4, msec=160
   Sequencer cycle 114 @ sec=4, msec=193
   Sequencer cycle 115 @ sec=4, msec=227
   Sequencer cycle 116 @ sec=4, msec=260
   Sequencer cycle 117 @ sec=4, msec=293
   Sequencer cycle 118 @ sec=4, msec=327
   Sequencer cycle 119 @ sec=4, msec=360
   Sequencer cycle 120 @ sec=4, msec=394
   Time-stamp with Image Analysis release 4 @ sec=4, msec=394
   Processed Image Save to File release 2 @ sec=4, msec=394
   Frame Sampler release 12 @ sec=4, msec=394
   Time-stamp Image Save to File release 4 @ sec=4, msec=394
   Send Time-stamped Image to Remote release 4 @ sec=4, msec=394
   Difference Image Proc release 2 @ sec=4, msec=394
   Sequencer cycle 121 @ sec=4, msec=427
   Sequencer cycle 122 @ sec=4, msec=460
   Sequencer cycle 123 @ sec=4, msec=494
   Sequencer cycle 124 @ sec=4, msec=527
   Sequencer cycle 125 @ sec=4, msec=561
   Sequencer cycle 126 @ sec=4, msec=594
   Sequencer cycle 127 @ sec=4, msec=627
   Sequencer cycle 128 @ sec=4, msec=661
   Sequencer cycle 129 @ sec=4, msec=694
   Sequencer cycle 130 @ sec=4, msec=728
   Frame Sampler release 13 @ sec=4, msec=728
   Sequencer cycle 131 @ sec=4, msec=761
   Sequencer cycle 132 @ sec=4, msec=794
   Sequencer cycle 133 @ sec=4, msec=828
   Sequencer cycle 134 @ sec=4, msec=861
   Sequencer cycle 135 @ sec=4, msec=895
   Sequencer cycle 136 @ sec=4, msec=928
   Sequencer cycle 137 @ sec=4, msec=961
   Sequencer cycle 138 @ sec=4, msec=995
   Sequencer cycle 139 @ sec=5, msec=28
   Sequencer cycle 140 @ sec=5, msec=62
   Frame Sampler release 14 @ sec=5, msec=62
   Sequencer cycle 141 @ sec=5, msec=95
   Sequencer cycle 142 @ sec=5, msec=128
   Sequencer cycle 143 @ sec=5, msec=162
   Sequencer cycle 144 @ sec=5, msec=195
   Sequencer cycle 145 @ sec=5, msec=229
   Sequencer cycle 146 @ sec=5, msec=262
   Sequencer cycle 147 @ sec=5, msec=296
   Sequencer cycle 148 @ sec=5, msec=329
   Sequencer cycle 149 @ sec=5, msec=362
   Sequencer cycle 150 @ sec=5, msec=396
